hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0005,B03406,,2023-08-24 05:35:21,,2023-08-24 05:40:07,2023-08-24 05:46:01,229,140,1.2,354,9.18,0.0,0.25,0.81,2.75,0.0,0.0,5.47,N,N,N,N,N
HV0003,B03404,B03404,2023-08-02 14:24:05,2023-08-02 14:24:14,2023-08-02 14:29:00,2023-08-02 15:13:20,138,162,9.16,2660,48.12,6.55,1.57,5.07,2.75,2.5,0.0,37.04,N,N, ,N,N
HV0003,B03404,B03404,2023-08-22 21:07:09,2023-08-22 21:09:21,2023-08-22 21:10:50,2023-08-22 21:17:55,234,68,1.19,425,13.6,0.0,0.37,1.21,2.75,0.0,0.0,12.85,N,N, ,N,Y
HV0003,B03404,B03404,2023-08-15 15:40:45,2023-08-15 15:43:01,2023-08-15 15:43:33,2023-08-15 16:03:01,142,234,3.11,1168,28.82,0.0,0.79,2.56,2.75,0.0,0.0,15.17,N,N, ,N,N
HV0003,B03404,B03404,2023-08-24 16:06:23,2023-08-24 16:07:43,2023-08-24 16:09:44,2023-08-24 16:21:56,10,132,3.22,733,16.6,0.0,0.53,1.7,0.0,2.5,0.0,11.12,N,N, ,N,N
HV0005,B03406,,2023-08-19 01:30:59,,2023-08-19 01:37:00,2023-08-19 01:50:55,78,174,4.427,835,19.51,0.0,0.54,1.73,0.0,0.0,0.0,13.78,N,N,N,N,N
HV0003,B03404,B03404,2023-08-12 21:15:08,2023-08-12 21:16:32,2023-08-12 21:16:46,2023-08-12 21:32:11,237,42,3.76,925,20.78,0.0,0.57,1.84,2.75,0.0,0.0,13.64,N,N, ,N,N
HV0005,B03406,,2023-08-01 06:28:51,,2023-08-01 06:36:31,2023-08-01 06:45:31,243,243,2.075,540,8.78,0.0,0.24,0.78,0.0,0.0,0.0,7.87,N,N,N,N,N
HV0003,B03404,B03404,2023-08-21 05:30:56,2023-08-21 05:32:25,2023-08-21 05:33:08,2023-08-21 05:52:05,132,173,10.71,1137,30.56,0.0,0.91,2.93,0.0,2.5,0.0,24.76,N,N, ,N,N
HV0005,B03406,,2023-08-16 16:27:26,,2023-08-16 16:30:44,2023-08-16 16:38:30,185,242,1.266,466,8.05,0.0,0.22,0.72,0.0,0.0,0.0,6.1,N,N,N,N,N
HV0003,B03404,B03404,2023-08-13 13:05:17,2023-08-13 13:08:39,2023-08-13 13:08:59,2023-08-13 13:39:03,228,262,12.95,1804,42.32,6.94,1.35,4.37,2.75,0.0,4.99,33.98,N,N, ,N,N
HV0003,B03404,B03404,2023-08-19 21:36:30,2023-08-19 21:42:57,2023-08-19 21:43:09,2023-08-19 21:52:57,56,82,1.64,588,12.41,0.0,0.34,1.1,0.0,0.0,0.0,7.76,N,N, ,N,N
HV0005,B03406,,2023-08-02 22:28:37,,2023-08-02 22:31:59,2023-08-02 22:52:31,7,80,6.387,1232,23.23,0.0,0.64,2.06,0.0,0.0,0.0,20.14,N,N,N,N,N
HV0003,B03404,B03404,2023-08-02 12:59:06,2023-08-02 13:05:27,2023-08-02 13:06:52,2023-08-02 13:31:53,164,234,2.64,1501,29.63,0.0,0.81,2.63,2.75,0.0,0.0,18.12,N,N, ,N,N
HV0005,B03406,,2023-08-28 08:44:31,,2023-08-28 08:48:39,2023-08-28 09:04:55,130,218,3.555,976,15.22,0.0,0.42,1.35,0.0,0.0,0.0,13.96,N,N,N,N,N
HV0003,B03404,B03404,2023-08-06 15:17:43,2023-08-06 15:20:56,2023-08-06 15:21:12,2023-08-06 15:31:28,112,255,1.49,616,12.52,0.0,0.34,1.11,0.0,0.0,0.0,7.75,N,N, ,N,N
HV0003,B03404,B03404,2023-08-31 15:05:56,2023-08-31 15:09:32,2023-08-31 15:11:32,2023-08-31 15:15:34,249,113,0.29,242,5.03,0.0,0.14,0.45,2.75,0.0,1.0,5.49,N,N, ,N,N
HV0005,B03406,,2023-08-08 11:06:35,,2023-08-08 11:12:48,2023-08-08 11:16:16,245,245,0.378,208,7.04,0.0,0.19,0.62,0.0,0.0,0.0,5.47,N,N,N,N,N
HV0005,B03406,,2023-08-24 12:12:23,,2023-08-24 12:16:34,2023-08-24 12:33:17,87,25,2.941,1003,16.68,0.45,0.47,1.52,2.75,0.0,0.0,13.41,N,N,N,N,N
HV0003,B03404,B03404,2023-08-13 06:04:53,2023-08-13 06:13:25,2023-08-13 06:13:50,2023-08-13 06:44:41,132,246,17.85,1851,93.16,6.94,2.82,9.11,2.75,2.5,0.0,61.34,N,N, ,N,N
HV0003,B03404,B03404,2023-08-12 21:47:48,2023-08-12 21:49:46,2023-08-12 21:49:58,2023-08-12 22:21:59,198,65,8.61,1921,28.63,0.0,0.79,2.54,0.0,0.0,6.39,29.5,N,N, ,N,N
HV0005,B03406,,2023-08-07 20:05:50,,2023-08-07 20:09:52,2023-08-07 20:26:11,258,198,4.37,979,15.83,0.0,0.44,1.41,0.0,0.0,0.0,15.07,N,N,N,N,N
